file,label_id,code,condition,condition_bn,urgency
oral_1_000000.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000001.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000002.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000003.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000004.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000005.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000006.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000007.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000008.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000009.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000010.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000011.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000012.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000013.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000014.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000015.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000016.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000017.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000018.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000019.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000020.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000021.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000022.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000023.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000024.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000025.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000026.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000027.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000028.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000029.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000030.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000031.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000032.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000033.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000034.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000035.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000036.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000037.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000038.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000039.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000040.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000041.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000042.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000043.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000044.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000045.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_1_000046.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000047.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000048.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000049.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000050.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
oral_0_000051.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000052.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000053.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000054.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_0_000055.jpg,0,oral_scc,oral_scc,মুখের ক্যানসারের মতো পরিবর্তন (OSC সন্দেহ),urgent
oral_1_000056.jpg,1,oral_normal,oral_normal,স্বাভাবিক মুখের ভেতর,routine
